DATE,20160816,20160817,20160818,20160819,20160820,20160821,20160822,20160823,20160824,20160825,20160826,20160827,20160828,20160829,20160830,20160831,20160901,20160902,20160903,20160904,20160905,20160906,20160907,20160908,20160909,20160910,20160911,20160912,20160913,20160914,20160915,20160916,20160917,20160918,20160919,20160920,20160921,20160922,20160923,20160924,20160925,20160926,20160927,20160928,20160929,20160930,20161001,20161002,20161003,20161004,20161005,20161006,20161007,20161008,20161009,20161010,20161011,20161012,20161013,20161111,20161112,20161113,20161114,20161115,20161116,20161117,20161118,20161119,20161120,20161121,20161122,20161123,20161124,20161125,20161126,20161127,20161128,20161129,20161130,20161201,20161202,20161203,20161204,20161205,20161206,20161207,20161208,20161209,20161210,20161211,20161212,20161213,20161214,20161215,20161216,20161217,20161218,20161219,20161220,20161221,20161222,20161223,20161224,20161225,20161226,20161227,20161228,20161229,20161230,20161231,20170101,20170102,20170103,20170104,20170105,20170106,20170107,20170108,20170109,20170110,20170111,20170112,20170113,20170114,20170115,20170118,20170119,20170120,20170121,20170122,20170123,20170124,20170125,20170126,20170127,20170128,20170129,20170130,20170131,20170201,20170202,20170203,20170204,20170205,20170206,20170207,20170208,20170209,20170210,20170211,20170212,20170213,20170214,20170215,20170216,20170217,20170218,20170219,20170220,20170221,20170222,20170223,20170224,20170225,20170226,20170227,20170228,20170301,20170302,
NEW, 24, 25, 25, 25, 25, 25, 25, 25, 26, 27, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 28, 29, 30, 30, 30, 30, 30, 31, 31, 30, 33, 31, 31, 32, 34, 34, 35, 33, 33, 33, 33, 33, 34, 35, 35, 36, 36, 36, 38, 40, 41, 40, 39, 39, 39, 39, 39, 40, 34, 34, 34, 34, 33, 33, 28, 26, 26, 26, 26, 26, 26, 19, 19, 19, 19, 19, 20, 21, 16, 12, 13, 13, 13, 6, 6, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 3, 3, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 7, 7, 8, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9,
INCOMPLETE, 18, 17, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 16, 16, 16, 17, 17, 17, 15, 14, 14, 14, 14, 14, 14, 14, 14, 15, 15, 15, 15, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 13, 13, 13, 13, 13, 13, 13, 13, 11, 11, 11, 10, 10, 11, 11, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 14, 14, 14, 14, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 18, 18, 18, 18, 18, 18, 18, 17, 20, 20, 20, 21, 21, 21, 20, 20, 20, 20, 20, 20, 21, 21, 21, 21, 21, 21, 21, 21, 22, 21, 21, 18, 18, 18, 7, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 17, 17, 17, 17, 17, 17, 16, 16, 16, 16, 16, 16, 17, 17,
CONFIRMED, 54, 52, 52, 52, 52, 52, 52, 52, 50, 50, 50, 50, 50, 50, 50, 50, 50, 49, 46, 46, 46, 46, 46, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 50, 50, 50, 50, 50, 49, 49, 49, 49, 49, 49, 49, 50, 50, 51, 51, 51, 51, 51, 50, 50, 53, 52, 52, 52, 51, 50, 50, 51, 51, 51, 51, 51, 51, 49, 49, 49, 49, 49, 49, 49, 53, 52, 52, 52, 52, 53, 52, 54, 53, 52, 51, 51, 51, 51, 51, 50, 50, 50, 50, 50, 50, 49, 48, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34, 34, 34, 26, 34, 34, 34, 34, 34, 36, 36, 36, 36, 36, 36, 36, 37, 37, 37, 37, 37, 37, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 37, 37,
TRIAGED, 15, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 15, 15, 15, 14, 14, 14, 14, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 14, 14, 14, 14, 13, 13, 14, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 15, 15, 15, 15, 15, 15, 14, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11,
INPROGRESS, 107, 106, 103, 102, 102, 102, 102, 104, 103, 104, 106, 106, 106, 106, 106, 105, 103, 103, 99, 95, 95, 96, 94, 90, 91, 91, 89, 89, 89, 89, 81, 83, 83, 83, 83, 82, 82, 79, 80, 79, 79, 79, 79, 80, 78, 77, 77, 77, 77, 77, 77, 77, 77, 78, 78, 78, 79, 82, 83, 83, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 84, 82, 82, 79, 79, 80, 80, 80, 80, 79, 76, 75, 75, 75, 76, 75, 74, 74, 74, 75, 75, 75, 75, 75, 76, 78, 77, 77, 74, 74, 69, 69, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 64, 65, 65, 59, 60, 59, 27, 59, 59, 59, 59, 59, 58, 58, 58, 58, 58, 58, 58, 57, 56, 56, 56, 56, 56, 56, 55, 56, 56, 56, 59, 58, 55, 55, 55, 55, 55, 55, 55, 54, 55, 55, 55, 55, 55, 55, 56,
FIXCOMMITTED, 16, 16, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 2, 2, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 8, 4, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7,
