DATE,20170101,20170102,20170103,20170104,20170105,20170106,20170107,20170108,20170109,20170110,20170111,20170112,20170113,20170114,20170115,20170118,20170119,20170120,20170121,20170122,20170123,20170124,20170125,20170126,20170127,20170128,20170129,20170130,20170131,20170201,20170202,20170203,20170204,20170205,20170206,20170207,20170208,20170209,20170210,20170211,20170212,20170213,20170214,20170215,20170216,20170217,20170218,20170219,20170220,20170221,20170222,20170223,20170224,20170225,20170226,20170227,20170228,20170301,20170302,20170303,20170304,20170305,20170306,20170307,20170308,20170309,20170310,20170311,20170312,20170313,20170314,20170315,20170316,20170317,20170318,20170319,20170320,20170321,20170322,20170323,20170324,20170325,20170326,20170327,20170328,20170329,20170330,20170331,20170401,20170402,20170403,20170404,20170405,20170406,20170407,20170408,20170409,20170410,20170411,20170412,20170413,20170414,20170415,20170416,20170417,20170418,20170419,20170420,20170421,20170422,20170423,20170424,20170425,20170426,20170427,20170428,20170429,20170430,20170501,20170502,20170503,20170504,20170505,20170506,20170507,20170508,20170509,20170510,20170511,20170512,20170513,20170514,20170515,20170516,20170517,20170518,20170519,20170520,20170521,20170522,20170523,20170524,20170525,20170526,20170527,20170528,20170529,20170530,20170531,20170601,20170602,20170603,20170604,20170605,20170606,20170607,20170608,20170609,20170610,20170611,20170612,20170613,20170614,20170615,20170616,20170617,
NEW, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 2, 3, 3, 3, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 7, 7, 8, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 8, 7, 7, 6, 7, 7, 8, 8, 9, 9, 9, 10, 10, 9, 12, 11, 11, 11, 13, 11, 7, 6, 6, 7, 6, 7, 9, 7, 7, 8, 7, 7, 7, 5, 4, 4, 4, 4, 4, 5, 5, 6, 7, 7, 7, 7, 9, 5, 5, 6, 6, 6, 6, 6, 8, 7, 8, 8, 8, 7, 8, 8, 8, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 9, 10, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 12, 6, 6, 6, 6,
INCOMPLETE, 20, 20, 20, 20, 21, 21, 21, 21, 21, 21, 21, 21, 22, 21, 21, 18, 18, 18, 7, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 17, 17, 17, 17, 17, 17, 16, 16, 16, 16, 16, 16, 17, 17, 17, 17, 17, 17, 16, 16, 16, 17, 17, 16, 16, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 16, 16, 15, 15, 15, 17, 17, 18, 18, 18, 18, 18, 18, 18, 20, 20, 20, 20, 19, 19, 19, 19, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 17, 15, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 7, 7, 7, 7,
CONFIRMED, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34, 34, 34, 26, 34, 34, 34, 34, 34, 36, 36, 36, 36, 36, 36, 36, 37, 37, 37, 37, 37, 37, 37, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 37, 37, 38, 39, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 40, 41, 42, 42, 42, 42, 43, 42, 42, 43, 43, 43, 43, 43, 43, 44, 44, 44, 43, 43, 42, 42, 42, 41, 41, 41, 41, 41, 41, 43, 43, 43, 43, 43, 42, 42, 42, 44, 42, 42, 42, 41, 41, 38, 38, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 35, 35, 35, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 35, 35, 35,
TRIAGED, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 10, 10, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 13, 13, 13, 13,
INPROGRESS, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 68, 64, 65, 65, 59, 60, 59, 27, 59, 59, 59, 59, 59, 58, 58, 58, 58, 58, 58, 58, 57, 56, 56, 56, 56, 56, 56, 55, 56, 56, 56, 59, 58, 55, 55, 55, 55, 55, 55, 55, 54, 55, 55, 55, 55, 55, 55, 56, 55, 54, 54, 53, 54, 54, 52, 53, 53, 53, 53, 54, 55, 55, 56, 56, 57, 57, 57, 57, 59, 60, 60, 60, 60, 59, 59, 58, 57, 58, 59, 59, 57, 58, 56, 55, 57, 57, 57, 59, 59, 59, 57, 59, 60, 60, 60, 60, 62, 61, 61, 61, 61, 62, 59, 57, 49, 43, 44, 44, 42, 36, 35, 35, 33, 33, 33, 34, 34, 34, 34, 34, 34, 34, 34, 36, 36, 34, 34, 34, 34, 35, 37, 37, 38, 40, 40, 40, 38, 39, 39, 38, 38, 38, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 41,
FIXCOMMITTED, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 8, 4, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 8, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5,
